Inteiro Teor;Título;Estágio;Relator;Órgão;Amostras
https://pje.trt2.jus.br/jurisprudencia/4048356f1feacc82b2fd4d4b5c99f25c;Processo ATOrd - 1000555-72.2024.5.02.0003;Sentença - Data de assinatura: 11/11/2024;Órgão julgador: 3ª Vara do Trabalho de São Paulo;Órgão julgador: 3ª Vara do Trabalho de São Paulo;"• É dizer, o termo refeição contido na Convenção Coletiva pressupõe o fornecimento de refeição nutritiva, que supra as necessidades alimentares básicas de um trabalhador, não tendo as refeições fornecidas pela empresa ré as qualidades básicas para suprir a exigência normativa, porquanto a testemunha autoral relatou que a ""1ª reclamada fornecia refeição (arroz, ovo, suco de limão ou 3 esfirras)""...."
https://pje.trt2.jus.br/jurisprudencia/770140867a732d0e678322edf3f9c42b;Processo ROT - 1000390-75.2024.5.02.0051;Acórdão - Data de assinatura: 11/11/2024;Relator(a): Sonia Maria Lacerda;Relator(a): Sonia Maria Lacerda;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/766898ff3c772803ad6fb169806ec498;Processo ATSum - 1001130-82.2024.5.02.0261;Sentença - Data de assinatura: 08/11/2024;Órgão julgador: 1ª Vara do Trabalho de Diadema;Órgão julgador: 1ª Vara do Trabalho de Diadema;"• As refeições fornecidas pela reclamada eram preparadas no local, sendo que todos os dias havia feijão ou arroz estragado. Diz que sentia o cheiro e o sabor de estragado na comida., e mesmo assim todos comiam. Passaram o problema ao líder mas nunca houve solução. Uma empresa de dedetização comparecia ""de vez em quando""...."
https://pje.trt2.jus.br/jurisprudencia/badc8ef192f9e318a8dced276132aac4;Processo ATOrd - 1001887-40.2023.5.02.0058;Sentença - Data de assinatura: 08/11/2024;Órgão julgador: 58ª Vara do Trabalho de São Paulo;Órgão julgador: 58ª Vara do Trabalho de São Paulo;• Ademais, relatou que a comida oferecida no refeitório era ruim, com arroz duro e carne crua. A testemunha convidada pela empresa, por sua vez, que atuava como chefe dos operadores de caixa, relatou que a comida oferecida era boa. Declarou, ainda, que era preciso pedir autorização para utilizar o banheiro....
https://pje.trt2.jus.br/jurisprudencia/e358cfa19fe021b5966902e6c079c899;Processo ATOrd - 1000670-22.2024.5.02.0447;Sentença - Data de assinatura: 08/11/2024;Órgão julgador: 7ª Vara do Trabalho de Santos;Órgão julgador: 7ª Vara do Trabalho de Santos;"• DEPOIMENTO DA PRIMEIRA TESTEMUNHA DO(A) AUTOR(A): trabalhou na ré de maio/2013 a junho/2022, como nutricionista; que trabalhava no Atacadão da N Sra. de Fátima durante o período contratual;(...) que a caldeira era ligada diariamente e até sua saída havia a caldeira; que a caldeira era utilizada para cozimento de arroz e carnes; que quando a depoente chegava para trabalhar a caldeira já estava ligada e assim permanecia até 11:30 aproximadamente; que a tarde funcionava..."
https://pje.trt2.jus.br/jurisprudencia/455d128cde8a7cf9b673f864a097d0cc;Processo EDCiv - 1000888-39.2023.5.02.0462;Acórdão - Data de assinatura: 07/11/2024;Relator(a): Valdir Florindo;Relator(a): Valdir Florindo;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/0df03b63c8b986df6ba2d3cd75d87e58;Processo TutCautAnt - 1033137-71.2023.5.02.0000;Acórdão - Data de assinatura: 07/11/2024;Relator(a): Valdir Florindo;Relator(a): Valdir Florindo;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/fa194fb451c29e740bed17ff9290a285;Processo DCG - 1033665-08.2023.5.02.0000;Acórdão - Data de assinatura: 07/11/2024;Relator(a): Valdir Florindo;Relator(a): Valdir Florindo;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/3d82f8d990990e3fba6ca75a17f69572;Processo ATOrd - 1000312-38.2024.5.02.0712;Sentença - Data de assinatura: 07/11/2024;Órgão julgador: 12ª Vara do Trabalho de São Paulo - Zona Sul;Órgão julgador: 12ª Vara do Trabalho de São Paulo - Zona Sul;• A defesa sustenta que “O RECLAMANTE fora contratado em 21.06.2019, inicialmente pela empresa JARDIM DAS MASSAS COMERCIO DE ALIMENTOS, inscrita no CNPJ sob o n.º 11.265.785/0002-21, sendo posteriormente transferido para a RECLAMADA (tendo em vista que se tratam de empresas do mesmo grupo econômico), para as atividades, de atendente, com salário de R$ 1.110,00 (mil, cento e dez reais), conforme o contrato de trabalho anexo, ocasião em que ajudava no preparo dos alimentos desde o cozimento do arroz...
https://pje.trt2.jus.br/jurisprudencia/2dca0bd173f16599f940de9a6afb1bd9;Processo ATOrd - 1000512-46.2023.5.02.0432;Sentença - Data de assinatura: 06/11/2024;Órgão julgador: 2ª Vara do Trabalho de Santo André;Órgão julgador: 2ª Vara do Trabalho de Santo André;• Entende-se por refeição comercial um prato composto de arroz, feijão, salada e algum tipo de proteína. Todavia, a substituição ao fast food, disponibilizada pela reclamada, era apenas de salada e de proteína do próprio cardápio dos lanches, conforme admitido na defesa....
https://pje.trt2.jus.br/jurisprudencia/08725d51cde4197472e054c18ef2800d;Processo ATOrd - 1001868-21.2023.5.02.0321;Sentença - Data de assinatura: 06/11/2024;Órgão julgador: 11ª Vara do Trabalho de Guarulhos;Órgão julgador: 11ª Vara do Trabalho de Guarulhos;• Quanto ao tema, a testemunha da reclamante afirmou que durante a semana era oferecido arroz e as mencionadas proteínas (hambúrgueres). Já nos fins de semana eram opções os lanches vendidos ao púbico.A rigor, as cláusulas normativas não excluem a possibilidade do fornecimento de proteína processada....
https://pje.trt2.jus.br/jurisprudencia/eb278ed83be7d86048b2b24172771a47;Processo ATOrd - 1000970-63.2023.5.02.0432;Sentença - Data de assinatura: 05/11/2024;Órgão julgador: 2ª Vara do Trabalho de Santo André;Órgão julgador: 2ª Vara do Trabalho de Santo André;• Entretanto, o fornecimento, pela reclamada, de arroz e feijão acompanhado de carne industrialmente processada (hambúrguer ou nuggets), independentemente de virem acompanhados de salada ou não, não se equivalem ao fornecimento de prato comercial ou similar....
https://pje.trt2.jus.br/jurisprudencia/085457acbeea0d3ae914438f20ce8218;Processo ATSum - 1001900-16.2024.5.02.0604;Sentença - Data de assinatura: 05/11/2024;Órgão julgador: 4ª Vara do Trabalho de São Paulo - Zona Leste;Órgão julgador: 4ª Vara do Trabalho de São Paulo - Zona Leste;• Em 28/08/2024, havia um menino pedindo alimentos próximo à entrada do supermercado, querendo adentrar o estabelecimento, pois um dos clientes lhe doaria um pacote de arroz, mas foi barrado pelo reclamante, o que não era orientação do supermercado. A cliente, Sra. Denise, ao ver a situação, pediu que o menino não fosse maltratado, o que ensejou uma discussão entre cliente e reclamante. O gerente Oziel não estava presente naquele momento. O Sr....
https://pje.trt2.jus.br/jurisprudencia/ca6be8e3c0e2ecc6e9fdd74952b95c8f;Processo RORSum - 1001213-52.2023.5.02.0320;Acórdão - Data de assinatura: 05/11/2024;Relator(a): Claudia Regina Lovato Franco;Relator(a): Claudia Regina Lovato Franco;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/fdc247f2dfb7ff4c5d739086b418b35d;Processo ATOrd - 1001491-42.2022.5.02.0432;Sentença - Data de assinatura: 05/11/2024;Órgão julgador: 2ª Vara do Trabalho de Santo André;Órgão julgador: 2ª Vara do Trabalho de Santo André;• Entende-se por refeição comercial um prato composto de arroz, feijão, salada e algum tipo de proteína....
https://pje.trt2.jus.br/jurisprudencia/26d42eeba5f047a1978d71e4b0ff5987;Processo ATOrd - 1001382-26.2024.5.02.0604;Sentença - Data de assinatura: 04/11/2024;Órgão julgador: 4ª Vara do Trabalho de São Paulo - Zona Leste;Órgão julgador: 4ª Vara do Trabalho de São Paulo - Zona Leste;"• da autora; que a reclamante não foi advertida por esse fato; que a reclamante foi advertida por ter diversas faltas, que a reclamante praticamente não trabalhou no ano de 2024; que não foi aplicada advertência pelo fato de a reclamante ter alterado o cardápio, que, na verdade, a reclamante foi advertida pois, durante vistoria da nutricionista, foi verificado que a reclamante estava fazendo 03 misturas para os funcionários, enquanto as crianças estavam comendo arroz..."
https://pje.trt2.jus.br/jurisprudencia/5d58303ac1444589ff6885e75777e8f9;Processo ATOrd - 1000595-35.2024.5.02.0074;Sentença - Data de assinatura: 04/11/2024;Órgão julgador: 74ª Vara do Trabalho de São Paulo;Órgão julgador: 74ª Vara do Trabalho de São Paulo;"• Com efeito, a testemunha LAÍS HELENA LUPINACCI (fls. 371) que presta serviços à reclamada de gestão e segurança alimentar esclareceu que “em fevereiro desse ano estava fazendo uma vistoria de qualidade na reclamada; que nessa vistoria a depoente pegou uma etiqueta de arroz vencida à 10 minutos; que a etiqueta indicava que o produto vencia às 11h00min; que então a depoente foi apurar a data da feitura do arroz..."
https://pje.trt2.jus.br/jurisprudencia/01894afefcd3bf783080e6bbc06d6686;Processo ATOrd - 1000378-95.2024.5.02.0363;Sentença - Data de assinatura: 04/11/2024;Órgão julgador: 3ª Vara do Trabalho de Mauá;Órgão julgador: 3ª Vara do Trabalho de Mauá;• Dessa forma, o fornecimento das refeições pela reclamada supre o fornecimento de refeição previsto na norma coletiva, uma vez que de acordo com a prova dos autos, era composto de um prato de comida, com arroz, feijão e proteína, inclusive com fornecimento de salada....
https://pje.trt2.jus.br/jurisprudencia/2b9fac40418037c8e9f1dca9d66e2bce;Processo ROT - 1001397-11.2023.5.02.0319;Acórdão - Data de assinatura: 04/11/2024;Relator(a): Fernanda Oliva Cobra Valdivia;Relator(a): Fernanda Oliva Cobra Valdivia;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/bde23290492507acb077890f0ef7d30e;Processo ATSum - 1000741-53.2024.5.02.0502;Sentença - Data de assinatura: 04/11/2024;Órgão julgador: 2ª Vara do Trabalho de Taboão da Serra;Órgão julgador: 2ª Vara do Trabalho de Taboão da Serra;• Transcrevo: “O reclamante relatou que tinha por atribuição realizar a reposição de mercadorias do setor de mercearia (arroz, feijão, óleo), além de organizar o estoque do setor localizado no piso superior. Acrescentou que na ausência da faxineira também podia recolher sacos de lixo, limpar o refeitório e o sanitário de funcionários”....
https://pje.trt2.jus.br/jurisprudencia/f461d465eb67b38e83346e51049657a0;Processo ATOrd - 1000348-02.2024.5.02.0447;Sentença - Data de assinatura: 03/11/2024;Órgão julgador: 7ª Vara do Trabalho de Santos;Órgão julgador: 7ª Vara do Trabalho de Santos;• No seu interrogatório o autor disse que se alimentava com comida fornecida pelo restaurante, como steak, salsicha, hamburguer, arroz, feijão e macarrão....
https://pje.trt2.jus.br/jurisprudencia/a740c66bf63bf5f6e988a7769c188243;Processo ROT - 1000800-66.2023.5.02.0311;Acórdão - Data de assinatura: 01/11/2024;Relator(a): Marina Junqueira Netto de Azevedo Barros;Relator(a): Marina Junqueira Netto de Azevedo Barros;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/d60fad534e7ce0421ccfa0471d06bf95;Processo ROT - 1001842-23.2021.5.02.0473;Acórdão - Data de assinatura: 31/10/2024;Relator(a): Rodrigo Garcia Schwarz;Relator(a): Rodrigo Garcia Schwarz;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/5b6effe15d8e7105da78ca898108e651;Processo ROT - 1000734-44.2024.5.02.0055;Acórdão - Data de assinatura: 31/10/2024;Relator(a): Maria Ines Re Soriano;Relator(a): Maria Ines Re Soriano;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/30ee5f50c15af7a596c6944b69fd0a93;Processo ROT - 1001618-66.2022.5.02.0371;Acórdão - Data de assinatura: 31/10/2024;Relator(a): Silvane Aparecida Bernardes;Relator(a): Silvane Aparecida Bernardes;Ementa:
https://pje.trt2.jus.br/jurisprudencia/d618304165df3b9619761bdd730ec3d6;Processo ATOrd - 1001349-09.2024.5.02.0031;Sentença - Data de assinatura: 30/10/2024;Órgão julgador: 31ª Vara do Trabalho de São Paulo;Órgão julgador: 31ª Vara do Trabalho de São Paulo;• Entretanto, ao contrário da narrativa da exordial, em depoimento pessoal o reclamante confessou que era o responsável por realizar a reposição de arroz e feijão, ou seja, não adentrava às câmaras frias, tampouco realizava atividades que demandassem o contato com produtos químicos....
https://pje.trt2.jus.br/jurisprudencia/66b32653891d8ad550b8d2dc4c470a3d;Processo ATOrd - 1001067-37.2024.5.02.0009;Sentença - Data de assinatura: 30/10/2024;Órgão julgador: 9ª Vara do Trabalho de São Paulo;Órgão julgador: 9ª Vara do Trabalho de São Paulo;"• intervalo, pois fazia 10/15min de intervalo apenas, mas registrava 1h; que a nutricionista era Tatiane e depois Silvia; que Silvia era um pouco arrogante; que a depoente pediu as contas em razão disso, pois Silvia pedia que chegassem mais cedo para cobrir outras ausências e ao ser questionada disse que se não estava contente que pedisse as contas; que silvia comparecia uma vez por semana, às vezes não comparecia, que lá ficava por 30min. que arrastava para o estoque caixas de frutas, bem como carregavam fardos de arroz..."
https://pje.trt2.jus.br/jurisprudencia/f4bc5fd2b47b6a9d75e7749dd1e466d9;Processo ROT - 1000543-15.2021.5.02.0019;Acórdão - Data de assinatura: 30/10/2024;Relator(a): Liane Martins Casarin;Relator(a): Liane Martins Casarin;Ementa:
https://pje.trt2.jus.br/jurisprudencia/fee708c2389eaea4bd82d1f51901fc81;Processo ROT - 1001877-47.2022.5.02.0602;Acórdão - Data de assinatura: 30/10/2024;Relator(a): Adriana Maria Battistelli Varellis;Relator(a): Adriana Maria Battistelli Varellis;Ementa:
https://pje.trt2.jus.br/jurisprudencia/b3e64bc9954bed599f51524f902c2318;Processo ATOrd - 1000519-32.2024.5.02.0261;Sentença - Data de assinatura: 28/10/2024;Órgão julgador: 1ª Vara do Trabalho de Diadema;Órgão julgador: 1ª Vara do Trabalho de Diadema;"• Aduz a reclamante que as ""dependências da reclamada está em péssimas condições, sem ar condicionado sem ventilação trabalhando por meses passando mal devido à alta temperatura e nada era solucionado, inclusive a refeição que é oferecida para os colaboradores, comida mal higienizada, mal armazenada, cheia de larva, pragas, bicos este encontrados no arroz, feijão e carne moída, devido à falta de higienização, sendo que não podem levar marmita e tem que comer no refeitório da empresa..."
https://pje.trt2.jus.br/jurisprudencia/d01a0fe94977a3d55e786bfa4dcd908c;Processo ATOrd - 1000696-20.2024.5.02.0447;Sentença - Data de assinatura: 25/10/2024;Órgão julgador: 7ª Vara do Trabalho de Santos;Órgão julgador: 7ª Vara do Trabalho de Santos;• No seu interrogatório, a autora disse que a ré fornecia alimentação e na maioria das vezes era arroz com ovo e não era uma alimentação reforçada, explicando que entrava às 15:00h, almoçando às 16:00h e que era a mesma alimentação fornecida a todos os empregados....
https://pje.trt2.jus.br/jurisprudencia/063ba2a260462c9cf97d733af10c559c;Processo ROT - 1001304-57.2023.5.02.0607;Acórdão - Data de assinatura: 25/10/2024;Relator(a): Silvane Aparecida Bernardes;Relator(a): Silvane Aparecida Bernardes;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/bb706b45f9cb01eac8b715a4aca8bdda;Processo ROT - 1000082-18.2023.5.02.0231;Decisão - Data de assinatura: 25/10/2024;Órgão julgador: Vice-Presidência Judicial;Órgão julgador: Vice-Presidência Judicial;"• Sombra de árvore é disputada na hora da refeição Guilherme Carvalho dos Santos, 30, come sentado na calçada ao lado de uma lanchonete em uma das esquinas da avenida Rebouças; arroz, feijão e frango; tudo frio. Ele pedala da Raposo Tavares até ali todos os dias. Ao seu lado, Gabriel Santana, 25, espera a fome bater para comer sua marmita também fria (...)..."
https://pje.trt2.jus.br/jurisprudencia/4169feebed0dd5d424f1d1c5e26b3263;Processo ATOrd - 1000323-80.2024.5.02.0255;Sentença - Data de assinatura: 25/10/2024;Órgão julgador: 5ª Vara do Trabalho de Cubatão;Órgão julgador: 5ª Vara do Trabalho de Cubatão;• A reclamante alega que, quando laborava no turno da manhã, só era autorizada a almoçar às 15 ou 16h, sem opção de refeição, uma vez que a empresa não fornecia vale-refeição, mas alimentação própria cujo almoço consistia nas carnes processadas produzidas no local de trabalho - hambúrgueres -, além de arroz. Sustenta que durante toda a sua jornada tinha que trabalhar em pé....
https://pje.trt2.jus.br/jurisprudencia/ff642e14f96c20fba515fbf8015a375f;Processo AP - 1001289-70.2023.5.02.0031;Acórdão - Data de assinatura: 25/10/2024;Relator(a): Cynthia Gomes Rosa;Relator(a): Cynthia Gomes Rosa;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/d5ffd3d47c68d9187149a6b3c4a9427d;Processo ROT - 1000080-45.2021.5.02.0384;Acórdão - Data de assinatura: 24/10/2024;Relator(a): Cesar Augusto Calovi Fagundes;Relator(a): Cesar Augusto Calovi Fagundes;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/c1875d238731b17202678aaf79319ba1;Processo ATSum - 1001242-20.2023.5.02.0315;Sentença - Data de assinatura: 24/10/2024;Órgão julgador: 5ª Vara do Trabalho de Guarulhos;Órgão julgador: 5ª Vara do Trabalho de Guarulhos;• • Foi transferido para a loja no setor de mercearia, executando reposição de produtos básicos (óleo, arroz, feijão, açúcar e outros) • Que estas foram suas atividades, se ativando no setor de câmaras e no setor de mercearia, não havendo outras a descrever....
https://pje.trt2.jus.br/jurisprudencia/f41c4a7243da89df057d2db5da1e6d04;Processo ATOrd - 1000567-88.2024.5.02.0261;Sentença - Data de assinatura: 24/10/2024;Órgão julgador: 1ª Vara do Trabalho de Diadema;Órgão julgador: 1ª Vara do Trabalho de Diadema;• Quanto ao transporte de outros produtos, como arroz, a prova testemunhal se mostrou dividida, e, portanto, insuficiente neste particular....
https://pje.trt2.jus.br/jurisprudencia/76c2c26ec187bd4e59bdd9433c29693b;Processo ATOrd - 1000556-48.2024.5.02.0006;Sentença - Data de assinatura: 24/10/2024;Órgão julgador: 6ª Vara do Trabalho de São Paulo;Órgão julgador: 6ª Vara do Trabalho de São Paulo;• As testemunhas ouvidas também apontaram que havia o fornecimento de alimentação composta de arroz, feijão, salada e carne. A mera circunstância de a proteína ser processada não leva à imediata conclusão de que a alimentação não fosse adequadamente fornecida. Diferente o seria se os alimentos disponibilizados fossem apenas os sanduíches e lanches comercializados pela ré....
https://pje.trt2.jus.br/jurisprudencia/83b337c090bf222d96bdc7e4e1a5e17a;Processo ATOrd - 1000367-10.2024.5.02.0026;Sentença - Data de assinatura: 24/10/2024;Órgão julgador: 26ª Vara do Trabalho de São Paulo;Órgão julgador: 26ª Vara do Trabalho de São Paulo;• Parágrafo segundo – As cestas básicas deverão conter preferencialmente os seguintes produtos não   perecíveis: arroz, óleo, macarrão, feijão, café, sal, farinha de trigo, açúcar, biscoito, farinha de mandioca, purê   de tomate, tempero, sardinha em lata, farinha de fubá, achocolatado, leite em pó.  Parágrafo terceiro – Fica assegurada a concessão de cesta básica durante o recesso escolar, as férias, a licença  maternidade e a licença para tratamento de saúde....
https://pje.trt2.jus.br/jurisprudencia/fb076c84adbde69d1cae419280f0a750;Processo RORSum - 1000375-75.2024.5.02.0611;Acórdão - Data de assinatura: 23/10/2024;Relator(a): Margoth Giacomazzi Martins;Relator(a): Margoth Giacomazzi Martins;Ementa:
https://pje.trt2.jus.br/jurisprudencia/b3be24072503fc60358e0243914a0d0b;Processo ROT - 1002300-83.2023.5.02.0242;Acórdão - Data de assinatura: 23/10/2024;Relator(a): Mauro Vignotto;Relator(a): Mauro Vignotto;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/6ec4d05eb1bfa631022b3a87f21e2ff6;Processo ATSum - 1000170-37.2023.5.02.0205;Sentença - Data de assinatura: 22/10/2024;Órgão julgador: 5ª Vara do Trabalho de Barueri;Órgão julgador: 5ª Vara do Trabalho de Barueri;• O depoimento da testemunha Bruno Welington Dias Matias não merece ser considerado, pois confuso e tendencioso, inicialmente disse ter sido contratado como conferente e que executava as mesmas funções que o autor, para logo em seguida dizer que o reclamante trabalhava como repositor, assim como a testemunha, o que foi dito adiante, a cada resposta, dizia um produto diferente que o autor trabalhou Danone, arroz...
https://pje.trt2.jus.br/jurisprudencia/effb0bf5583a1fe23eef32bac3a561eb;Processo ATOrd - 1000625-87.2024.5.02.0521;Sentença - Data de assinatura: 22/10/2024;Órgão julgador: Vara do Trabalho de Arujá;Órgão julgador: Vara do Trabalho de Arujá;"• Inicialmente, importa destacar que a reclamante exercia a função de cozinheira II, tendo por atribuição, segundo consta do laudo pericial, as seguintes tarefas: ""realizar a preparação de refeições servidas aos pacientes da Reclamada, conforme cardápio; preparar arroz, feijão, massas e guarnições e carnes; lavar, descascar, cortar, cozer e condimentar alimentos, acompanhando a sua cocção; cortar temperos em bancada; realizar a limpeza do forno e fogão e auxiliar na limpeza da cozinha no final do expediente..."
https://pje.trt2.jus.br/jurisprudencia/a399ff13383f9df332b5137a244b5a58;Processo ATOrd - 1000051-83.2024.5.02.0062;Sentença - Data de assinatura: 21/10/2024;Órgão julgador: 62ª Vara do Trabalho de São Paulo;Órgão julgador: 62ª Vara do Trabalho de São Paulo;"• dia, permanecendo por 10/15min; que Márcia era a gerente de plantão, que ele chegava na loja e ela o mandava embora pois dizia que não gostava do trabalho dele; que isso também acontecia com outros funcionário, mas não com a depoente; que trabalhou com Márcia por menos de um ano; que os gerentes da loja foram Igor, Silvana e Renato; que o rcte os substituía em férias; que o rcte fazia transporte de mercadorias de ônibus/uber, pão, alface, tomate, carne, batata; que recebiam alimentação na empresa, comida: arroz..."
https://pje.trt2.jus.br/jurisprudencia/ba4a809f43d0cb5f649d360e03a02b75;Processo ATOrd - 1001502-53.2023.5.02.0362;Sentença - Data de assinatura: 21/10/2024;Órgão julgador: 2ª Vara do Trabalho de Mauá;Órgão julgador: 2ª Vara do Trabalho de Mauá;• O reclamante não compareceu na diligência, tendo o perito constatado que, na função de repositor de mercadoria, o autor atuou no setor de mercearia do supermercado vistoriado, fazendo o abastecimento de mercadorias como arroz, feijão, macarrão, óleo, dentre outros. De acordo com o que foi informado na vistoria, o reclamante não adentrava a câmara fria ou resfriada....
https://pje.trt2.jus.br/jurisprudencia/66f4b2126a7061e8a775376565994fbc;Processo RORSum - 1000332-96.2024.5.02.0431;Acórdão - Data de assinatura: 21/10/2024;Relator(a): Fernando Cesar Teixeira Franca;Relator(a): Fernando Cesar Teixeira Franca;Amostras do Inteiro Teor:
https://pje.trt2.jus.br/jurisprudencia/263283a316adddbb5e7c31c3b0ae98aa;Processo RORSum - 1001408-66.2023.5.02.0472;Acórdão - Data de assinatura: 21/10/2024;Relator(a): Sergio Roberto Rodrigues;Relator(a): Sergio Roberto Rodrigues;Ementa:
https://pje.trt2.jus.br/jurisprudencia/2c5e4869d1f817c0af163a7ebd880292;Processo ATOrd - 1000268-37.2024.5.02.0027;Sentença - Data de assinatura: 18/10/2024;Órgão julgador: 27ª Vara do Trabalho de São Paulo;Órgão julgador: 27ª Vara do Trabalho de São Paulo;• Acúmulo de funçãoFoi contratada para fazer almoço na cozinha e na prática fazia tudo: arroz, feijão. A depoente também fazia limpeza da escolinha em 2021. Começou a fazer limpeza em abril de 2021. Começou a cozinhar em setembro de 2021....
